,Unnamed: 0,Unnamed: 0.1,askPrice,baseLastPrice,baseSymbol,bidPrice,daysToExpiration,expirationDate,exportedAt,lastPrice,midpoint,openInterest,strikePrice,symbolType,tradeTime,volatility,volume,volumeOpenInterestRatio,priceDiff,priceDiffPerc,inTheMoney,nrOptions,strikePriceCum,nrCalls,meanStrikeCall,volumeCall,openInterestCall,nrPuts,meanStrikePut,volumePut,openInterestPut,volumeCumSum,openInterestCumSum,nrHigherOptions,higherStrikePriceCum,meanStrikeCallPerc,meanStrikePutPerc,midpointPerc,meanHigherStrike
52,64.0,,15.55,361.74,AAPL,15.25,37,2020-07-31,2020-06-24,15.1,15.4,605.0,365.0,Call,14:30 ET,35.84,1004.0,1.66,3.259999999999991,1.0090119975673135,0,1,365.0,2.0,367.5,1777.0,1203.0,2.0,315.0,3298.0,1361.0,1777.0,1203.0,2,735.0,1.0159230386465417,0.87079117598275,0.04257201304804556,367.5
53,33.0,,12.7,361.74,AAPL,12.4,37,2020-07-31,2020-06-24,12.43,12.55,598.0,370.0,Call,14:57 ET,35.86,773.0,1.29,8.259999999999991,1.0228340797257698,0,1,370.0,2.0,367.5,1777.0,1203.0,2.0,315.0,3298.0,1361.0,773.0,598.0,1,370.0,1.0159230386465417,0.87079117598275,0.03469342621772544,370.0
80,42.0,,0.89,13.86,ACB,0.76,8,2020-07-02,2020-06-24,0.77,0.83,778.0,14.0,Call,14:38 ET,102.34,4877.0,6.27,0.14000000000000057,1.0101010101010102,0,1,14.0,2.0,15.0,11412.0,1258.0,0.0,,0.0,,11412.0,1258.0,2,30.0,1.0822510822510822,,0.05988455988455989,15.0
81,38.0,,0.31,13.77,ACB,0.28,8,2020-07-02,2020-06-24,0.28,0.3,480.0,16.0,Call,14:43 ET,114.96,6535.0,13.61,2.2300000000000004,1.1619462599854757,0,1,16.0,2.0,15.0,11412.0,1258.0,0.0,,0.0,,6535.0,480.0,1,16.0,1.0893246187363834,,0.02178649237472767,16.0
89,9.0,,4.4,100.99,AKAM,4.15,58,2020-08-21,2020-06-24,4.2,4.28,444.0,105.0,Call,14:07 ET,36.31,581.0,1.31,4.010000000000005,1.039706901673433,0,1,105.0,1.0,105.0,581.0,444.0,0.0,,0.0,,581.0,444.0,1,105.0,1.039706901673433,,0.04238043370630756,105.0
96,84.0,,1.5,52.51,AMD,1.48,8,2020-07-02,2020-06-24,1.49,1.49,1531.0,53.0,Call,14:44 ET,55.71,2463.0,1.61,0.490000000000002,1.0093315558941154,0,1,53.0,3.0,54.333333333333336,17396.0,8218.0,2.0,50.0,5420.0,3573.0,17396.0,8218.0,3,163.0,1.0347235447216403,0.9521995810321844,0.028375547514759094,54.333333333333336
97,77.0,,1.08,52.51,AMD,1.07,8,2020-07-02,2020-06-24,1.07,1.08,1857.0,54.0,Call,14:45 ET,54.78,7598.0,4.09,1.490000000000002,1.0283755475147591,0,1,54.0,3.0,54.333333333333336,17396.0,8218.0,2.0,50.0,5420.0,3573.0,14933.0,6687.0,2,110.0,1.0347235447216403,0.9521995810321844,0.020567510950295183,55.0
98,50.0,,0.52,52.51,AMD,0.51,8,2020-07-02,2020-06-24,0.52,0.52,4830.0,56.0,Call,14:59 ET,56.01,7335.0,1.52,3.490000000000002,1.0664635307560466,0,1,56.0,3.0,54.333333333333336,17396.0,8218.0,2.0,50.0,5420.0,3573.0,7335.0,4830.0,1,56.0,1.0347235447216403,0.9521995810321844,0.009902875642734718,56.0
100,80.0,,2.57,52.32,AMD,2.54,23,2020-07-17,2020-06-24,2.52,2.55,128.0,53.0,Call,14:41 ET,52.2,1038.0,8.11,0.6799999999999997,1.0129969418960245,0,1,53.0,2.0,53.5,2435.0,804.0,2.0,51.5,1211.0,781.0,2435.0,804.0,2,107.0,1.0225535168195719,0.9843272171253823,0.04873853211009174,53.5
101,74.0,,2.13,52.51,AMD,2.1,23,2020-07-17,2020-06-24,2.09,2.12,676.0,54.0,Call,14:41 ET,51.97,1397.0,2.07,1.490000000000002,1.0283755475147591,0,1,54.0,2.0,53.5,2435.0,804.0,2.0,51.5,1211.0,781.0,1397.0,676.0,1,54.0,1.0188535517044373,0.9807655684631499,0.04037326223576462,54.0
102,19.0,,1.5,52.51,AMD,1.45,37,2020-07-31,2020-06-24,1.49,1.48,5008.0,60.0,Call,15:00 ET,59.9,7144.0,1.43,7.490000000000002,1.1426394972386213,0,1,60.0,2.0,62.5,9037.0,6260.0,0.0,,0.0,,9037.0,6260.0,2,125.0,1.1902494762902305,,0.028185107598552656,62.5
103,53.0,,0.73,52.51,AMD,0.69,37,2020-07-31,2020-06-24,0.72,0.71,1252.0,65.0,Call,14:53 ET,60.07,1893.0,1.51,12.490000000000002,1.2378594553418396,0,1,65.0,2.0,62.5,9037.0,6260.0,0.0,,0.0,,1893.0,1252.0,1,65.0,1.1902494762902305,,0.013521234050657017,65.0
105,6.0,,2.11,52.51,AMD,2.1,58,2020-08-21,2020-06-24,2.12,2.11,1404.0,60.0,Call,14:58 ET,56.49,1849.0,1.32,7.490000000000002,1.1426394972386213,0,1,60.0,3.0,68.33333333333333,7857.0,2668.0,4.0,48.75,11030.0,6122.0,7857.0,2668.0,3,205.0,1.301339427410652,0.9283945915063798,0.04018282231955818,68.33333333333333
106,32.0,,0.76,52.51,AMD,0.74,58,2020-08-21,2020-06-24,0.75,0.75,820.0,70.0,Call,14:45 ET,58.56,5441.0,6.64,17.490000000000002,1.333079413445058,0,1,70.0,3.0,68.33333333333333,7857.0,2668.0,4.0,48.75,11030.0,6122.0,6008.0,1264.0,2,145.0,1.301339427410652,0.9283945915063798,0.014282993715482766,72.5
107,45.0,,0.46,52.51,AMD,0.44,58,2020-08-21,2020-06-24,0.47,0.45,444.0,75.0,Call,14:53 ET,60.95,567.0,1.28,22.490000000000002,1.4282993715482766,0,1,75.0,3.0,68.33333333333333,7857.0,2668.0,4.0,48.75,11030.0,6122.0,567.0,444.0,1,75.0,1.301339427410652,0.9283945915063798,0.00856979622928966,75.0
117,52.0,,0.31,6.93,AMRN,0.26,23,2020-07-17,2020-06-24,0.28,0.29,1132.0,7.5,Call,13:54 ET,73.4,1713.0,1.51,0.5700000000000003,1.0822510822510822,0,1,7.5,1.0,7.5,1713.0,1132.0,0.0,,0.0,,1713.0,1132.0,1,7.5,1.0822510822510822,,0.04184704184704185,7.5
136,27.0,,53.15,2746.22,AMZN,52.0,8,2020-07-02,2020-06-24,53.3,52.58,443.0,2750.0,Call,14:45 ET,34.43,763.0,1.72,3.7800000000002,1.0013764374303589,0,1,2750.0,8.0,2826.25,8585.0,3205.0,4.0,2632.5,3961.0,1553.0,8585.0,3205.0,8,22610.0,1.0291418750136552,0.9585903532856072,0.019146317483668462,2826.25
137,17.0,,49.0,2746.22,AMZN,47.85,8,2020-07-02,2020-06-24,48.2,48.43,149.0,2760.0,Call,14:46 ET,34.12,1060.0,7.11,13.7800000000002,1.005017806293742,0,1,2760.0,8.0,2826.25,8585.0,3205.0,4.0,2632.5,3961.0,1553.0,7822.0,2762.0,7,19860.0,1.0291418750136552,0.9585903532856072,0.017635149405364467,2837.1428571428573
138,44.0,,40.7,2746.22,AMZN,39.5,8,2020-07-02,2020-06-24,41.6,40.1,415.0,2770.0,Call,14:56 ET,34.75,631.0,1.52,23.7800000000002,1.0086591751571252,0,1,2770.0,8.0,2826.25,8585.0,3205.0,4.0,2632.5,3961.0,1553.0,6762.0,2613.0,6,17100.0,1.0291418750136552,0.9585903532856072,0.014601889142166325,2850.0
139,63.0,,39.7,2746.22,AMZN,38.8,8,2020-07-02,2020-06-24,39.3,39.25,305.0,2780.0,Call,14:45 ET,33.78,1749.0,5.73,33.7800000000002,1.0123005440205082,0,1,2780.0,8.0,2826.25,8585.0,3205.0,4.0,2632.5,3961.0,1553.0,6131.0,2198.0,5,14330.0,1.0291418750136552,0.9585903532856072,0.014292372788778759,2866.0
140,12.0,,32.35,2746.22,AMZN,31.55,8,2020-07-02,2020-06-24,32.65,31.95,547.0,2800.0,Call,14:45 ET,34.18,2085.0,3.81,53.7800000000002,1.0195832817472745,0,1,2800.0,8.0,2826.25,8585.0,3205.0,4.0,2632.5,3961.0,1553.0,4382.0,1893.0,4,11550.0,1.0291418750136552,0.9585903532856072,0.011634173518509079,2887.5
141,55.0,,17.05,2746.22,AMZN,16.3,8,2020-07-02,2020-06-24,17.0,16.68,462.0,2850.0,Call,14:56 ET,34.15,586.0,1.27,103.7800000000002,1.0377901260641902,0,1,2850.0,8.0,2826.25,8585.0,3205.0,4.0,2632.5,3961.0,1553.0,2297.0,1346.0,3,8750.0,1.0291418750136552,0.9585903532856072,0.00607380326412305,2916.6666666666665
142,53.0,,10.85,2746.22,AMZN,10.45,8,2020-07-02,2020-06-24,10.9,10.65,501.0,2900.0,Call,14:45 ET,35.08,945.0,1.89,153.7800000000002,1.0559969703811058,0,1,2900.0,8.0,2826.25,8585.0,3205.0,4.0,2632.5,3961.0,1553.0,1711.0,884.0,2,5900.0,1.0291418750136552,0.9585903532856072,0.0038780578395030264,2950.0
143,97.0,,4.45,2746.22,AMZN,4.2,8,2020-07-02,2020-06-24,4.3,4.33,383.0,3000.0,Call,14:45 ET,38.74,766.0,2.0,253.7800000000002,1.092410659014937,0,1,3000.0,8.0,2826.25,8585.0,3205.0,4.0,2632.5,3961.0,1553.0,766.0,383.0,1,3000.0,1.0291418750136552,0.9585903532856072,0.0015767127178448923,3000.0
144,8.0,,49.55,2746.22,AMZN,48.0,16,2020-07-10,2020-06-24,49.0,48.78,235.0,2800.0,Call,14:45 ET,31.51,523.0,2.23,53.7800000000002,1.0195832817472745,0,1,2800.0,1.0,2800.0,523.0,235.0,0.0,,0.0,,523.0,235.0,1,2800.0,1.0195832817472745,,0.017762597315582877,2800.0
145,14.0,,1.15,2746.22,AMZN,0.89,23,2020-07-17,2020-06-24,1.1,1.02,332.0,3850.0,Call,14:19 ET,55.25,846.0,2.55,1103.7800000000002,1.4019270124025025,0,1,3850.0,1.0,3850.0,846.0,332.0,0.0,,0.0,,846.0,332.0,1,3850.0,1.4019270124025025,,0.0003714196240650786,3850.0
180,20.0,,2.25,19.39,APT,1.95,8,2020-07-02,2020-06-24,2.07,2.1,556.0,20.0,Call,14:44 ET,200.02,1649.0,2.97,0.6099999999999994,1.0314595152140278,0,1,20.0,2.0,22.5,2568.0,729.0,0.0,,0.0,,2568.0,729.0,2,45.0,1.1603919546157813,,0.10830324909747292,22.5
181,83.0,,1.25,19.39,APT,0.9,8,2020-07-02,2020-06-24,1.07,1.08,173.0,25.0,Call,14:43 ET,236.51,919.0,5.31,5.609999999999999,1.2893243940175347,0,1,25.0,2.0,22.5,2568.0,729.0,0.0,,0.0,,919.0,173.0,1,25.0,1.1603919546157813,,0.05569881382155751,25.0
183,46.0,,0.6,39.9,ARWR,0.4,23,2020-07-17,2020-06-24,0.5,0.5,340.0,50.0,Call,14:35 ET,77.01,574.0,1.69,10.100000000000001,1.2531328320802007,0,1,50.0,1.0,50.0,574.0,340.0,0.0,,0.0,,574.0,340.0,1,50.0,1.2531328320802007,,0.012531328320802006,50.0
184,72.0,,0.2,1.64,ASNA,0.1,23,2020-07-17,2020-06-24,0.15,0.15,486.0,2.0,Call,14:19 ET,166.16,2699.0,5.55,0.3600000000000001,1.2195121951219512,0,1,2.0,1.0,2.0,2699.0,486.0,0.0,,0.0,,2699.0,486.0,1,2.0,1.2195121951219512,,0.09146341463414634,2.0
190,35.0,,1.29,95.78,AXP,1.22,8,2020-07-02,2020-06-24,1.27,1.26,212.0,100.0,Call,14:43 ET,50.39,616.0,2.91,4.219999999999999,1.044059302568386,0,1,100.0,1.0,100.0,616.0,212.0,0.0,,0.0,,616.0,212.0,1,100.0,1.044059302568386,,0.013155147212361662,100.0
