,baseSymbol,baseLastPrice,symbolType,strikePrice,expirationDate,daysToExpiration,bidPrice,midpoint,askPrice,lastPrice,volume,openInterest,volumeOpenInterestRatio,volatility,tradeTime,exportedAt,minPrice,maxPrice,finalPrice,firstPrice
64,NEM,70.56,Call,72.0,2020-08-21,16,1.94,1.97,2.01,1.77,1005,109,9.22,40.37,2020-08-05 13:43:00,2020-08-05 21:25:16,62.650001525878906,71.33999633789062,65.56999969482422,70.11000061035156
65,NEM,70.56,Call,72.0,2020-08-21,16,1.94,1.97,2.01,1.77,1005,109,9.22,40.37,2020-08-05 13:43:00,2020-08-05 21:25:16,62.650001525878906,71.33999633789062,65.56999969482422,70.11000061035156
66,MOMO,20.0,Call,21.0,2020-08-21,16,0.76,0.77,0.78,0.75,14292,1674,8.54,69.44,2020-08-05 14:44:00,2020-08-05 21:25:16,19.5,22.045000076293945,20.600000381469727,20.479999542236328
67,MOMO,20.0,Call,21.0,2020-08-21,16,0.76,0.77,0.78,0.75,14292,1674,8.54,69.44,2020-08-05 14:44:00,2020-08-05 21:25:16,19.5,22.045000076293945,20.600000381469727,20.479999542236328
68,LULU,339.19,Call,400.0,2020-08-28,23,0.92,0.97,1.01,0.82,860,103,8.35,40.3,2020-08-05 14:34:00,2020-08-05 21:25:16,334.1199951171875,384.04998779296875,377.4800109863281,339.17999267578125
69,LULU,339.19,Call,400.0,2020-08-28,23,0.92,0.97,1.01,0.82,860,103,8.35,40.3,2020-08-05 14:34:00,2020-08-05 21:25:16,334.1199951171875,384.04998779296875,377.4800109863281,339.17999267578125
70,NEWR,55.49,Put,50.0,2020-08-21,16,0.8,0.9,1.0,0.91,977,121,8.07,65.13,2020-08-05 14:39:00,2020-08-05 21:25:16,52.130001068115234,60.68000030517578,60.119998931884766,55.15999984741211
71,NEWR,55.49,Put,50.0,2020-08-21,16,0.8,0.9,1.0,0.91,977,121,8.07,65.13,2020-08-05 14:39:00,2020-08-05 21:25:16,52.130001068115234,60.68000030517578,60.119998931884766,55.15999984741211
72,GME,4.55,Call,5.5,2020-08-28,23,0.22,0.25,0.28,0.25,1411,176,8.02,118.92,2020-08-05 13:54:00,2020-08-05 21:25:16,4.059999942779541,5.599999904632568,5.389999866485596,4.429999828338623
73,GME,4.55,Call,5.5,2020-08-28,23,0.22,0.25,0.28,0.25,1411,176,8.02,118.92,2020-08-05 13:54:00,2020-08-05 21:25:16,4.059999942779541,5.599999904632568,5.389999866485596,4.429999828338623
74,V,196.22,Call,202.5,2020-08-21,16,1.5,1.52,1.54,1.6,23159,3011,7.69,23.84,2020-08-05 14:47:00,2020-08-05 21:25:16,194.7899932861328,205.13999938964844,204.1300048828125,198.77000427246094
75,V,196.22,Call,202.5,2020-08-21,16,1.5,1.52,1.54,1.6,23159,3011,7.69,23.84,2020-08-05 14:47:00,2020-08-05 21:25:16,194.7899932861328,205.13999938964844,204.1300048828125,198.77000427246094
76,THC,29.16,Call,29.0,2020-08-21,16,1.45,1.65,1.85,1.6,1050,140,7.5,62.93,2020-08-05 14:45:00,2020-08-05 21:25:16,27.010000228881836,30.540000915527344,27.170000076293945,29.360000610351562
77,THC,29.16,Call,29.0,2020-08-21,16,1.45,1.65,1.85,1.6,1050,140,7.5,62.93,2020-08-05 14:45:00,2020-08-05 21:25:16,27.010000228881836,30.540000915527344,27.170000076293945,29.360000610351562
78,FCX,14.11,Put,13.5,2020-08-28,23,0.45,0.46,0.48,0.5,2072,293,7.07,55.82,2020-08-05 13:13:00,2020-08-05 21:25:16,13.670000076293945,15.699999809265137,15.649999618530273,14.5600004196167
79,FCX,14.09,Call,16.0,2020-08-28,23,0.14,0.16,0.18,0.16,634,306,2.07,50.97,2020-08-05 13:39:00,2020-08-05 21:25:16,13.670000076293945,15.699999809265137,15.649999618530273,14.5600004196167
80,FCX,14.11,Put,13.5,2020-08-28,23,0.45,0.46,0.48,0.5,2072,293,7.07,55.82,2020-08-05 13:13:00,2020-08-05 21:25:16,13.670000076293945,15.699999809265137,15.649999618530273,14.5600004196167
81,FCX,14.09,Call,16.0,2020-08-28,23,0.14,0.16,0.18,0.16,634,306,2.07,50.97,2020-08-05 13:39:00,2020-08-05 21:25:16,13.670000076293945,15.699999809265137,15.649999618530273,14.5600004196167
82,GILD,69.36,Call,70.5,2020-08-21,16,1.01,1.04,1.06,1.04,1496,223,6.71,26.68,2020-08-05 14:03:00,2020-08-05 21:25:16,65.41000366210938,69.75,66.5,68.80999755859375
83,GILD,69.36,Call,70.5,2020-08-21,16,1.01,1.04,1.06,1.04,1496,223,6.71,26.68,2020-08-05 14:03:00,2020-08-05 21:25:16,65.41000366210938,69.75,66.5,68.80999755859375
84,GTT,5.86,Put,5.0,2020-08-21,16,0.4,0.55,0.7,0.63,2546,380,6.7,231.0,2020-08-05 14:48:00,2020-08-05 21:25:16,3.940000057220459,6.130000114440918,4.300000190734863,5.760000228881836
85,GTT,5.86,Put,5.0,2020-08-21,16,0.4,0.55,0.7,0.63,2546,380,6.7,231.0,2020-08-05 14:48:00,2020-08-05 21:25:16,3.940000057220459,6.130000114440918,4.300000190734863,5.760000228881836
86,WDC,44.22,Put,46.5,2020-08-21,16,3.75,3.83,3.9,3.6,1097,182,6.03,61.79,2020-08-05 13:42:00,2020-08-05 21:25:16,33.529998779296875,39.209999084472656,33.709999084472656,37.29999923706055
87,WDC,44.22,Call,46.0,2020-08-21,16,1.71,1.76,1.8,1.76,1623,367,4.42,66.85,2020-08-05 14:29:00,2020-08-05 21:25:16,33.529998779296875,39.209999084472656,33.709999084472656,37.29999923706055
88,WDC,44.22,Put,46.5,2020-08-21,16,3.75,3.83,3.9,3.6,1097,182,6.03,61.79,2020-08-05 13:42:00,2020-08-05 21:25:16,33.529998779296875,39.209999084472656,33.709999084472656,37.29999923706055
89,WDC,44.22,Call,46.0,2020-08-21,16,1.71,1.76,1.8,1.76,1623,367,4.42,66.85,2020-08-05 14:29:00,2020-08-05 21:25:16,33.529998779296875,39.209999084472656,33.709999084472656,37.29999923706055
90,VIPS,23.59,Call,25.0,2020-08-21,16,0.9,0.95,1.0,0.95,3710,641,5.79,76.47,2020-08-05 14:35:00,2020-08-05 21:25:16,17.90999984741211,24.459999084472656,18.049999237060547,23.889999389648438
