,baseSymbol,baseLastPrice,symbolType,strikePrice,expirationDate,daysToExpiration,bidPrice,midpoint,askPrice,lastPrice,volume,openInterest,volumeOpenInterestRatio,volatility,tradeTime,exportedAt,minPrice,maxPrice,finalPrice,firstPrice
308,JMIA,16.15,Put,17.0,2020-08-21 00:00:00,17,3.5,3.6,3.7,3.6,643,274,2.35,218.59,2020-08-04 14:55:00,2020-08-04 21:21:34,10.65999984741211,20.770000457763672,10.880000114440918,17.0
309,JMIA,16.15,Call,25.0,2020-08-21 00:00:00,17,1.0,1.1,1.2,0.95,5973,2569,2.33,227.36,2020-08-04 14:55:00,2020-08-04 21:21:34,10.65999984741211,20.770000457763672,10.880000114440918,17.0
310,JMIA,16.15,Put,16.0,2020-08-21 00:00:00,17,2.85,2.9,2.95,3.0,799,367,2.18,219.92,2020-08-04 14:57:00,2020-08-04 21:21:34,10.65999984741211,20.770000457763672,10.880000114440918,17.0
311,JMIA,16.15,Call,19.0,2020-08-21 00:00:00,17,1.75,1.9,2.05,1.8,1234,583,2.12,206.01,2020-08-04 14:56:00,2020-08-04 21:21:34,10.65999984741211,20.770000457763672,10.880000114440918,17.0
312,JMIA,15.9,Call,20.0,2020-08-21 00:00:00,17,1.6,1.75,1.9,1.65,5399,3009,1.79,213.72,2020-08-04 14:55:00,2020-08-04 21:21:34,10.65999984741211,20.770000457763672,10.880000114440918,17.0
313,JMIA,15.9,Put,14.0,2020-08-21 00:00:00,17,1.75,1.8,1.85,1.9,1220,766,1.59,218.15,2020-08-04 14:55:00,2020-08-04 21:21:34,10.65999984741211,20.770000457763672,10.880000114440918,17.0
314,JMIA,15.9,Put,11.0,2020-08-21 00:00:00,17,0.55,0.65,0.75,0.6,593,403,1.47,199.9,2020-08-04 14:51:00,2020-08-04 21:21:34,10.65999984741211,20.770000457763672,10.880000114440918,17.0
315,JMIA,15.9,Call,28.0,2020-08-21 00:00:00,17,0.7,0.77,0.85,0.8,1089,810,1.34,242.54,2020-08-04 15:11:00,2020-08-04 21:21:34,10.65999984741211,20.770000457763672,10.880000114440918,17.0
316,MRK,81.28,Call,86.0,2020-08-28 00:00:00,24,0.42,0.44,0.45,0.45,567,121,4.69,22.71,2020-08-04 14:38:00,2020-08-04 21:21:34,80.02999877929688,86.29000091552734,85.6500015258789,81.63999938964844
317,LYFT,30.15,Call,37.0,2020-08-21 00:00:00,17,0.41,0.43,0.44,0.44,1011,229,4.41,86.51,2020-08-04 14:40:00,2020-08-04 21:21:34,25.739999771118164,32.775001525878906,28.93000030517578,30.889999389648438
318,LYFT,30.15,Put,30.5,2020-08-21 00:00:00,17,2.37,2.38,2.38,2.39,1213,307,3.95,86.1,2020-08-04 14:41:00,2020-08-04 21:21:34,25.739999771118164,32.775001525878906,28.93000030517578,30.889999389648438
319,HLT,77.93,Put,65.0,2020-08-21 00:00:00,17,0.2,0.23,0.25,0.22,6039,1383,4.37,54.31,2020-08-04 14:53:00,2020-08-04 21:21:34,77.83000183105469,88.69999694824219,87.3499984741211,80.0
320,HLT,77.93,Put,70.0,2020-08-21 00:00:00,17,0.7,0.73,0.75,0.72,8271,1928,4.29,51.18,2020-08-04 14:52:00,2020-08-04 21:21:34,77.83000183105469,88.69999694824219,87.3499984741211,80.0
321,BLNK,11.61,Call,17.5,2020-08-21 00:00:00,17,0.5,0.58,0.65,0.58,674,160,4.21,205.93,2020-08-04 14:38:00,2020-08-04 21:21:34,6.420000076293945,13.010000228881836,6.800000190734863,12.600000381469727
322,VNO,36.26,Call,40.0,2020-08-21 00:00:00,17,0.35,0.38,0.4,0.36,1343,324,4.15,46.82,2020-08-04 14:07:00,2020-08-04 21:21:34,33.849998474121094,38.400001525878906,34.720001220703125,35.209999084472656
323,VNO,36.26,Call,45.0,2020-08-21 00:00:00,17,0.05,0.08,0.1,0.1,1196,581,2.06,59.24,2020-08-04 14:26:00,2020-08-04 21:21:34,33.849998474121094,38.400001525878906,34.720001220703125,35.209999084472656
